Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
2025-06-13,Buy,VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,7.0,$68.05,,-476.35
2025-06-13,Sell,CGXU,CAPITAL GROUP INTRTNL FOC EQY ETF,82.8967,$26.5702,$0.01,2202.57
2025-06-13,MoneyLink Deposit,,"Tfr JPMORGAN CHASE BAN, West Central Ser",,,,66.17
2025-06-13,Qual Div Reinvest,IBKR,INTERACTIVE BROKERS GROUCLASS A,,,,2.26
2025-06-11,Reinvest Shares,SPGI,S&P GLOBAL INC,0.0039,$515.3174,,-2.0
2025-06-11,Buy,CHWY,CHEWY INC CLASS A,5.0,$40.58,,-202.9
2025-06-11,Qual Div Reinvest,SPGI,S&P GLOBAL INC,,,,2.0
2025-06-10,Sell to Open,MARA 07/18/2025 14.00 P,PUT MARA HLDGS INC $14 EXP 07/18/25,1.0,$0.54,$0.66,53.34
2025-06-09,Buy to Close,SOFI 07/18/2025 12.00 P,PUT SOFI TECHNOLOGIES IN$12 EXP 07/18/25,1.0,$0.23,$0.66,-23.66
2025-06-09,Buy to Close,APLD 07/18/2025 8.00 P,PUT APPLIED DIGITAL CORP$8 EXP 07/18/25,1.0,$0.23,$0.66,-23.66
2025-06-06,Buy,TDG,TRANSDIGM GROUP INC,0.017,$1465.72,,-24.92
2025-06-06,Buy,AXON,AXON ENTERPRISE INC,0.0314,$795.265,,-24.97
2025-06-06,Qualified Dividend,CEG,CONSTELLATION ENERGY COR,,,,0.39
2025-06-05,Sell to Open,APLD 07/18/2025 8.00 P,PUT APPLIED DIGITAL CORP$8 EXP 07/18/25,1.0,$0.30,$0.66,29.34
2025-06-03,Sell to Open,SOFI 07/18/2025 12.00 P,PUT SOFI TECHNOLOGIES IN$12 EXP 07/18/25,1.0,$0.35,$0.66,34.34
2025-06-03,Buy to Close,INTC 06/13/2025 20.50 P,PUT INTEL CORP $20.5 EXP 06/13/25,1.0,$0.67,$0.66,-67.66
2025-06-02,Reinvest Shares,V,VISA INC CLASS A,0.004,$362.5843,,-1.46
2025-06-02,Reinvest Shares,EQT,EQT CORP,0.0314,$56.0299,,-1.76
2025-06-02,Qual Div Reinvest,EQT,EQT CORP,,,,1.76
2025-06-02,Qual Div Reinvest,V,VISA INC CLASS A,,,,1.46
2025-05-27,Buy,BCS,BARCLAYS PLC FSPONSORED ADR 1 ADR REPS 4 ORD SHS,5.0,$17.90,,-89.5
2025-05-27,Buy,TDG,TRANSDIGM GROUP INC,0.0691,$1446.0214,,-99.92
2025-05-27,Buy,AXON,AXON ENTERPRISE INC,0.1343,$744.568,,-100.0
2025-05-27,Buy,VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,14.0,$67.3699,,-943.18
2025-05-27,Sell,CGXU,CAPITAL GROUP INTRTNL FOC EQY ETF,37.0,$26.6644,$0.01,986.57
2025-05-27,Buy,VXUS,VANGUARD TOTAL INTERNATIONAL STK ETF,38.0,$67.37,,-2560.06
2025-05-27,Sell,CGXU,CAPITAL GROUP INTRTNL FOC EQY ETF,100.0,$26.665,$0.02,2666.48
2025-05-22,Buy to Close,INTC 06/06/2025 20.50 P,PUT INTEL CORP $20.5 EXP 06/06/25,1.0,$0.56,$0.66,-56.66
2025-05-22,Sell to Open,INTC 06/13/2025 20.50 P,PUT INTEL CORP $20.5 EXP 06/13/25,1.0,$0.70,$0.66,69.34
2025-05-21,Reinvest Shares,MTG,MGIC INVT CORP WIS,0.1382,$26.41,,-3.65
2025-05-21,Qual Div Reinvest,MTG,MGIC INVT CORP WIS,,,,3.65
2025-05-20,Buy,BCS,BARCLAYS PLC FSPONSORED ADR 1 ADR REPS 4 ORD SHS,5.0,$17.7782,,-88.89
2025-05-20,Buy,HOOD,ROBINHOOD MKTS INC CLASS A,1.0,$64.50,,-64.5
2025-05-16,Buy,PYPL,PAYPAL HLDGS INC,2.0,$71.865,,-143.73
2025-05-16,Buy,TDG,TRANSDIGM GROUP INC,0.3215,$1415.0984,,-454.95
2025-05-16,Buy,AXON,AXON ENTERPRISE INC,0.8023,$729.0875,,-584.95
,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,0.08
2025-05-15,Buy,PEP,PEPSICO INC,1.0,$131.16,,-131.16
2025-05-15,Sell,KO,THE COCA-COLA CO,5.0,$71.5817,,357.91
2025-05-12,Sell to Open,INTC 06/06/2025 20.50 P,PUT INTEL CORP $20.5 EXP 06/06/25,1.0,$0.34,$0.66,33.34
,Sell,CCL,CARNIVAL CORP F,100.0,$18.50,$0.07,1849.93
,Assigned,CCL 05/09/2025 18.50 C,CALL CARNIVAL CORP $18.5 EXP 05/09/25,1.0,,,
2025-05-09,ADR Mgmt Fee,BABA,ALIBABA GROUP HLDG LTD FSPONSORED ADR 1 ADR REPS 8 ORD SHS,,,,-0.06
2025-04-30,Reinvest Shares,EME,EMCOR GROUP INC,0.0006,$384.79,,-0.25
2025-04-30,Qual Div Reinvest,EME,EMCOR GROUP INC,,,,0.25
2025-04-29,Foreign Tax Paid,KEP,KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS,,,,-0.17
2025-04-29,Qualified Dividend,KEP,KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS,,,,1.04
2025-04-29,ADR Mgmt Fee,KEP,KOREA ELEC PWR CORP FSPONSORED ADR 1 ADR REPS 0.5 ORD SHS,,,,-0.3
2025-04-23,Sell,GDMN,WISDMTREE EFF GLD PLS GLD MNR ST ETF,10.0,$46.96,$0.01,469.59
2025-04-21,Sell to Open,CCL 05/09/2025 18.50 C,CALL CARNIVAL CORP $18.5 EXP 05/09/25,1.0,$0.56,$0.66,55.34
,Assigned,CCL 04/17/2025 19.50 P,PUT CARNIVAL CORP $19.5 EXP 04/17/25,1.0,,,
,Buy,CCL,CARNIVAL CORP F,100.0,$19.50,,-1950.0
,Bank Interest,,BANK INT ...525 SCHWAB BANK,,,,0.16
2025-04-11,Buy,GDMN,WISDMTREE EFF GLD PLS GLD MNR ST ETF,10.0,$48.08,,-480.8
